Store,Inventory Date Time,Product,Gross Volume,Net Volume,Temperature
Jumbo 663,2020-02-17 03:59:27.000,DSL,38184.535,38339.784,50.88
Jumbo 663,2020-02-17 02:57:56.000,DSL,38923.171,39083.057,50.802333
Jumbo 663,2020-02-17 01:59:19.000,DSL,39121.808,39286.445,50.577666
Jumbo 663,2020-02-17 00:59:16.000,DSL,39473.07,39637.231,50.704
Jumbo 663,2020-02-16 23:57:36.000,DSL,39596.927,39762.108,50.680333
Jumbo 663,2020-02-16 22:56:26.000,DSL,39904.834,40072.424,50.631666
Jumbo 663,2020-02-16 21:55:16.000,DSL,40322.6,40494.064,50.537333
Jumbo 663,2020-02-16 20:59:16.000,DSL,41110.896,41287.456,50.484
Jumbo 663,2020-02-16 19:59:47.000,DSL,41642.519,41823.2,50.413
Jumbo 663,2020-02-16 18:59:56.000,DSL,42204.86,42393.656,50.142666
Jumbo 663,2020-02-16 17:59:56.000,DSL,42877.686,43067.877,50.257666
Jumbo 663,2020-02-16 16:59:16.000,DSL,43450.772,43645.512,50.182
Jumbo 663,2020-02-16 15:59:46.000,DSL,43791.975,43993.145,49.953333
Jumbo 663,2020-02-16 14:59:06.000,DSL,44646.358,44850.268,50.045
Jumbo 663,2020-02-16 13:59:26.000,DSL,45312.695,45522.507,49.934666
Jumbo 663,2020-02-16 12:59:26.000,DSL,46222.417,46438.781,49.856333
Jumbo 663,2020-02-16 11:59:26.000,DSL,44014.426,44215.086,50.033333
Jumbo 663,2020-02-16 10:59:36.000,DSL,41424.173,41611.361,50.017333
Jumbo 663,2020-02-16 09:58:16.000,DSL,42589.78,42784.386,49.952
Jumbo 663,2020-02-16 08:58:46.000,DSL,43148.782,43355.39,49.495333
Jumbo 663,2020-02-16 07:57:06.000,DSL,43904.575,44109.019,49.805333
Jumbo 663,2020-02-16 06:58:56.000,DSL,44354.394,44562.048,49.763666
Jumbo 663,2020-02-16 05:58:46.000,DSL,44553.457,44762.593,49.742
Jumbo 663,2020-02-16 04:55:16.000,DSL,44868.202,45079.992,49.694
Jumbo 663,2020-02-16 03:58:16.000,DSL,44925.325,45138.328,49.651
Jumbo 663,2020-02-16 02:59:36.000,DSL,45173.92,45393.331,49.416333
Jumbo 663,2020-02-16 01:59:16.000,DSL,45212.734,45432.881,49.392
Jumbo 663,2020-02-16 00:59:36.000,DSL,37726.489,37895.597,49.948333
Jumbo 663,2020-02-15 23:57:46.000,DSL,37847.16,38017.639,49.901333
Jumbo 663,2020-02-15 22:58:26.000,DSL,37852.283,38023.689,49.844333
Jumbo 663,2020-02-15 21:58:36.000,DSL,38027.076,38200.427,49.776333
Jumbo 663,2020-02-15 20:56:26.000,DSL,38362.939,38540.017,49.645333
Jumbo 663,2020-02-15 19:58:36.000,DSL,38809.489,38989.522,49.597666
Jumbo 663,2020-02-15 18:58:27.000,DSL,39654.908,39841.301,49.466666
Jumbo 663,2020-02-15 17:58:56.000,DSL,40305.186,40498.369,49.279333
Jumbo 663,2020-02-15 16:59:56.000,DSL,40575.771,40770.948,49.252333
Jumbo 663,2020-02-15 15:59:36.000,DSL,41598.166,41800.87,49.151666
Jumbo 663,2020-02-15 14:59:06.000,DSL,42159.056,42367.525,49.012666
Jumbo 663,2020-02-15 13:59:26.000,DSL,43474.983,43692.723,48.913666
Jumbo 663,2020-02-15 12:59:56.000,DSL,36856.066,37024.399,49.717666
Jumbo 663,2020-02-15 11:59:26.000,DSL,37392.684,37568.199,49.452333
Jumbo 663,2020-02-15 10:59:56.000,DSL,38501.799,38683.89,49.393666
Jumbo 663,2020-02-15 09:59:06.000,DSL,31632.883,31764.295,50.677333
Jumbo 663,2020-02-15 08:59:56.000,DSL,32853.237,32991.819,50.551
Jumbo 663,2020-02-15 07:59:26.000,DSL,33474.194,33616.927,50.460333
Jumbo 663,2020-02-15 06:56:26.000,DSL,33981.071,34127.231,50.380666
Jumbo 663,2020-02-15 05:59:46.000,DSL,34541.296,34691.552,50.274
Jumbo 663,2020-02-15 04:59:26.000,DSL,35158.479,35313.26,50.159666
Jumbo 663,2020-02-15 03:59:56.000,DSL,35202.732,35358.837,50.084333
Jumbo 663,2020-02-15 02:57:07.000,DSL,35702.589,35863.319,49.93
Jumbo 663,2020-02-15 01:59:16.000,DSL,35939.176,36101.965,49.865
Jumbo 663,2020-02-15 00:59:56.000,DSL,36242.992,36407.864,49.822333
Jumbo 663,2020-02-14 23:55:56.000,DSL,36548.38,36716.101,49.733333
Jumbo 663,2020-02-14 22:59:06.000,DSL,37378.837,37553.232,49.567666
Jumbo 663,2020-02-14 21:56:16.000,DSL,37974.065,38151.847,49.537666
Jumbo 663,2020-02-14 20:59:46.000,DSL,38496.714,38680.0,49.354666
Jumbo 663,2020-02-14 19:58:16.000,DSL,39442.883,39634.39,49.148
Jumbo 663,2020-02-14 18:59:08.000,DSL,40683.802,40880.846,49.205666
Jumbo 663,2020-02-14 17:59:06.000,DSL,41214.521,41421.782,48.808333
Jumbo 663,2020-02-14 16:59:26.000,DSL,42368.535,42584.323,48.710666
Jumbo 663,2020-02-14 15:58:46.000,DSL,43645.395,43867.102,48.783333
Jumbo 663,2020-02-14 14:59:06.000,DSL,45250.153,45483.984,48.633333
Jumbo 663,2020-02-14 13:59:07.000,DSL,38697.89,38886.635,49.088666
Jumbo 663,2020-02-14 12:59:07.000,DSL,40600.802,40802.678,48.882
Jumbo 663,2020-02-14 11:59:16.000,DSL,42386.474,42596.576,48.932333
Jumbo 663,2020-02-14 10:59:16.000,DSL,44822.216,45047.277,48.799333
Jumbo 663,2020-02-14 09:59:26.000,DSL,47234.903,47477.52,48.551666
Jumbo 663,2020-02-14 08:55:46.000,DSL,48151.595,48400.178,48.501666
Jumbo 663,2020-02-14 07:57:16.000,DSL,49417.318,49672.342,48.507333
Jumbo 663,2020-02-14 06:58:56.000,DSL,50198.128,50458.788,48.441
Jumbo 663,2020-02-14 05:58:16.000,DSL,51250.048,51517.819,48.37
Jumbo 663,2020-02-14 04:58:16.000,DSL,52173.618,52448.397,48.283333
Jumbo 663,2020-02-14 03:59:19.000,DSL,53276.157,53559.307,48.185333
Jumbo 663,2020-02-14 02:58:56.000,DSL,53423.061,53708.309,48.131333
Jumbo 663,2020-02-14 01:59:17.000,DSL,46204.38,46435.681,48.975333
Jumbo 663,2020-02-14 00:56:06.000,DSL,46732.59,46968.493,48.889333
Jumbo 663,2020-02-13 23:59:36.000,DSL,47148.742,47390.462,48.724333
Jumbo 663,2020-02-13 22:58:36.000,DSL,39927.3,40115.632,49.529666
Jumbo 663,2020-02-13 21:59:06.000,DSL,40625.124,40819.412,49.396
Jumbo 663,2020-02-13 20:59:26.000,DSL,42154.764,42359.313,49.263333
Jumbo 663,2020-02-13 19:59:09.000,DSL,42080.096,42279.031,49.550333
Jumbo 663,2020-02-13 18:59:56.000,DSL,37101.741,37268.89,49.960666
Jumbo 663,2020-02-13 17:56:16.000,DSL,38300.613,38475.905,49.81
Jumbo 663,2020-02-13 16:59:46.000,DSL,39054.784,39234.893,49.734333
Jumbo 663,2020-02-13 15:59:36.000,DSL,40706.824,40897.897,49.582333
Jumbo 663,2020-02-13 14:59:16.000,DSL,42467.334,42669.873,49.484666
Jumbo 663,2020-02-13 13:59:46.000,DSL,36126.671,36293.187,49.72
Jumbo 663,2020-02-13 12:58:16.000,DSL,37957.418,38135.113,49.568666
Jumbo 663,2020-02-13 11:59:46.000,DSL,39793.63,39982.828,49.415333
Jumbo 663,2020-02-13 10:59:36.000,DSL,42342.967,42547.804,49.246666
Jumbo 663,2020-02-13 09:58:56.000,DSL,44299.672,44516.964,49.107666
Jumbo 663,2020-02-13 08:59:26.000,DSL,46829.784,47066.961,48.759
Jumbo 663,2020-02-13 07:59:16.000,DSL,40823.943,41018.773,49.381333
Jumbo 663,2020-02-13 06:59:16.000,DSL,42390.757,42600.353,48.991666
Jumbo 663,2020-02-13 05:59:56.000,DSL,44656.21,44881.486,48.778
Jumbo 663,2020-02-13 04:57:16.000,DSL,45654.299,45886.969,48.672
Jumbo 663,2020-02-13 03:59:36.000,DSL,46433.242,46667.391,48.852333
Jumbo 663,2020-02-13 02:59:16.000,DSL,39101.34,39286.988,49.451333
Jumbo 663,2020-02-13 01:58:16.000,DSL,39183.005,39370.709,49.376333
Jumbo 663,2020-02-13 00:58:26.000,DSL,31648.51,31785.136,50.399
Jumbo 663,2020-02-12 23:57:36.000,DSL,32100.123,32240.222,50.317666
Jumbo 663,2020-02-12 22:58:56.000,DSL,32594.423,32738.361,50.228
Jumbo 663,2020-02-12 21:59:26.000,DSL,32840.941,32987.659,50.129333
Jumbo 663,2020-02-12 20:59:36.000,DSL,33709.831,33862.827,50.015333
Jumbo 663,2020-02-12 19:57:16.000,DSL,28075.222,28188.835,51.023666
Jumbo 663,2020-02-12 18:58:46.000,DSL,29225.561,29345.212,50.961666
Jumbo 663,2020-02-12 17:59:26.000,DSL,22261.931,22336.751,52.28
Jumbo 663,2020-02-12 16:59:56.000,DSL,23972.608,24055.166,52.123333
Jumbo 663,2020-02-12 15:59:46.000,DSL,26047.616,26140.097,51.921
Jumbo 663,2020-02-12 14:59:56.000,DSL,27505.08,27604.756,51.781333
Jumbo 663,2020-02-12 13:59:36.000,DSL,28791.497,28898.655,51.559
Jumbo 663,2020-02-12 12:58:26.000,DSL,31203.024,31322.184,51.376
Jumbo 663,2020-02-12 11:59:16.000,DSL,33332.96,33462.602,51.227333
Jumbo 663,2020-02-12 10:59:46.000,DSL,35833.032,35975.431,51.067
Jumbo 663,2020-02-12 09:59:06.000,DSL,37855.796,38008.476,50.936666
Jumbo 663,2020-02-12 08:59:16.000,DSL,40760.262,40928.292,50.766333
Jumbo 663,2020-02-12 07:58:56.000,DSL,42963.797,43144.419,50.627666
Jumbo 663,2020-02-12 06:57:36.000,DSL,45250.13,45443.307,50.567666
Jumbo 663,2020-02-12 05:59:26.000,DSL,39212.004,39365.394,51.234333
Jumbo 663,2020-02-12 04:59:16.000,DSL,40236.69,40396.191,51.160333
Jumbo 663,2020-02-12 03:59:36.000,DSL,40717.317,40880.54,51.086333
Jumbo 663,2020-02-12 02:59:16.000,DSL,41359.576,41527.925,50.983666
Jumbo 663,2020-02-12 01:58:56.000,DSL,41663.0,41834.855,50.92
Jumbo 663,2020-02-12 00:57:16.000,DSL,42424.521,42600.23,51.076666
Jumbo 663,2020-02-11 23:59:16.000,DSL,34996.467,35125.885,51.703333
Jumbo 663,2020-02-11 22:58:16.000,DSL,35535.926,35668.666,51.622333
Jumbo 663,2020-02-11 21:58:16.000,DSL,35905.698,36040.718,51.567666
Jumbo 663,2020-02-11 20:59:16.000,DSL,36366.343,36505.448,51.410666
Jumbo 663,2020-02-11 19:58:06.000,DSL,37756.831,37903.754,51.277
Jumbo 663,2020-02-11 18:59:56.000,DSL,38563.387,38714.323,51.226666
Jumbo 663,2020-02-11 17:59:16.000,DSL,39868.406,40026.887,51.089666
Jumbo 663,2020-02-11 16:59:36.000,DSL,41154.622,41320.252,50.971
Jumbo 663,2020-02-11 15:59:57.000,DSL,42970.137,43146.726,50.775
Jumbo 663,2020-02-11 14:58:36.000,DSL,45259.554,45455.631,50.284333
Jumbo 663,2020-02-11 13:57:27.000,DSL,47854.925,48057.566,50.537333
Jumbo 663,2020-02-11 12:59:16.000,DSL,49100.921,49310.456,50.461333
Jumbo 663,2020-02-11 11:59:16.000,DSL,51070.858,51291.278,50.369
Jumbo 663,2020-02-11 10:58:26.000,DSL,47051.43,47247.441,50.672333
Jumbo 663,2020-02-11 09:59:40.000,DSL,49201.78,49409.634,50.561
Jumbo 663,2020-02-11 08:59:46.000,DSL,51413.499,51633.542,50.489
Jumbo 663,2020-02-11 07:58:56.000,DSL,51520.487,51740.111,50.645
Jumbo 663,2020-02-11 06:59:46.000,DSL,45606.803,45792.421,50.892
Jumbo 663,2020-02-11 05:57:46.000,DSL,46618.367,46809.976,50.807333
Jumbo 663,2020-02-11 04:55:27.000,DSL,47502.475,47700.265,50.670333
Jumbo 663,2020-02-11 03:58:06.000,DSL,40280.736,40435.803,51.583
Jumbo 663,2020-02-11 02:59:26.000,DSL,40843.894,41004.541,51.466333
Jumbo 663,2020-02-11 01:56:27.000,DSL,41179.055,41340.611,51.609333
Jumbo 663,2020-02-11 00:59:26.000,DSL,33471.548,33588.891,51.968333
Jumbo 663,2020-02-10 23:55:56.000,DSL,34328.179,34450.021,51.869333
Jumbo 663,2020-02-10 22:57:16.000,DSL,34713.858,34838.257,51.791
Jumbo 663,2020-02-10 21:58:26.000,DSL,35148.229,35275.792,51.686666
Jumbo 663,2020-02-10 20:58:06.000,DSL,35760.979,35891.64,51.631
Jumbo 663,2020-02-10 19:59:36.000,DSL,36490.759,36626.274,51.497666
Jumbo 663,2020-02-10 18:59:56.000,DSL,38316.885,38462.391,51.321333
Jumbo 663,2020-02-10 17:55:56.000,DSL,39847.551,40001.674,51.166333
Jumbo 663,2020-02-10 16:59:16.000,DSL,41244.246,41406.503,51.030666
Jumbo 663,2020-02-10 15:59:46.000,DSL,42647.342,42819.669,50.811666
Jumbo 663,2020-02-10 14:59:26.000,DSL,43884.608,44062.792,50.768666
Jumbo 663,2020-02-10 13:58:26.000,DSL,45939.432,46129.902,50.631666
Jumbo 663,2020-02-10 12:58:26.000,DSL,39896.099,40053.163,51.195333
Jumbo 663,2020-02-10 11:58:26.000,DSL,41888.843,42060.608,50.915666
Jumbo 663,2020-02-10 10:58:16.000,DSL,44656.705,44840.4,50.992666
Jumbo 663,2020-02-10 09:59:46.000,DSL,39062.275,39214.446,51.28
Jumbo 663,2020-02-10 08:59:29.000,DSL,40307.461,40465.971,51.182
Jumbo 663,2020-02-10 07:57:06.000,DSL,33032.492,33148.496,52.089333
Jumbo 663,2020-02-10 06:58:56.000,DSL,33779.236,33899.683,51.971333
Jumbo 663,2020-02-10 05:58:46.000,DSL,34660.829,34787.223,51.798333
Jumbo 663,2020-02-10 04:59:16.000,DSL,35423.396,35554.388,51.672666
Jumbo 663,2020-02-10 03:58:56.000,DSL,35786.603,35920.439,51.573
Jumbo 663,2020-02-10 02:56:06.000,DSL,36385.665,36522.561,51.533
Jumbo 663,2020-02-10 01:58:36.000,DSL,36945.207,37085.872,51.424
Jumbo 663,2020-02-10 00:59:26.000,DSL,37199.821,37342.276,51.378
Jumbo 663,2020-02-09 23:59:26.000,DSL,37520.061,37664.932,51.310666
Jumbo 663,2020-02-09 22:59:16.000,DSL,37711.285,37858.758,51.205333
Jumbo 663,2020-02-09 21:59:06.000,DSL,38227.388,38379.269,51.047
Jumbo 663,2020-02-09 20:58:56.000,DSL,39026.2,39181.399,51.058666
Jumbo 663,2020-02-09 19:57:36.000,DSL,39615.7,39775.345,50.934
Jumbo 663,2020-02-09 18:58:36.000,DSL,40268.389,40432.223,50.846333
Jumbo 663,2020-02-09 17:58:46.000,DSL,40856.226,41024.315,50.739666
Jumbo 663,2020-02-09 16:59:56.000,DSL,42237.506,42414.351,50.592333
Jumbo 663,2020-02-09 15:59:47.000,DSL,43092.394,43279.799,50.218666
Jumbo 663,2020-02-09 14:59:26.000,DSL,44460.832,44655.356,50.179
Jumbo 663,2020-02-09 13:59:26.000,DSL,45568.818,45775.966,49.843333
Jumbo 663,2020-02-09 12:59:36.000,DSL,46599.203,46808.313,50.026
Jumbo 663,2020-02-09 11:59:06.000,DSL,48254.104,48472.795,50.131
Jumbo 663,2020-02-09 10:59:47.000,DSL,46507.883,46714.607,50.502333
Jumbo 663,2020-02-09 09:58:26.000,DSL,41951.511,42133.994,50.487333
Jumbo 663,2020-02-09 08:58:26.000,DSL,42534.492,42720.66,50.459333
Jumbo 663,2020-02-09 07:56:56.000,DSL,43183.897,43376.034,50.334333
Jumbo 663,2020-02-09 06:58:17.000,DSL,44036.158,44235.434,50.21
Jumbo 663,2020-02-09 05:55:26.000,DSL,44460.16,44661.792,50.207
Jumbo 663,2020-02-09 04:59:16.000,DSL,44816.041,45022.67,50.062333
Jumbo 663,2020-02-09 03:55:26.000,DSL,44895.524,45101.859,50.097
Jumbo 663,2020-02-09 02:56:17.000,DSL,45311.009,45522.4,49.962666
Jumbo 663,2020-02-09 01:57:26.000,DSL,37748.519,37902.556,50.869333
Jumbo 663,2020-02-09 00:57:16.000,DSL,37894.527,38050.285,50.809
Jumbo 663,2020-02-08 23:59:16.000,DSL,38094.647,38252.43,50.748333
Jumbo 663,2020-02-08 22:58:16.000,DSL,38326.917,38488.498,50.592333
Jumbo 663,2020-02-08 21:56:46.000,DSL,39104.932,39270.486,50.595
Jumbo 663,2020-02-08 20:56:06.000,DSL,39533.808,39702.623,50.533333
Jumbo 663,2020-02-08 19:59:16.000,DSL,39938.105,40110.61,50.442333
Jumbo 663,2020-02-08 18:56:36.000,DSL,40069.437,40244.311,50.349
Jumbo 663,2020-02-08 17:59:06.000,DSL,40399.743,40578.461,50.232666
Jumbo 663,2020-02-08 16:59:56.000,DSL,33857.823,33991.591,50.971666
Jumbo 663,2020-02-08 15:59:06.000,DSL,33695.996,33830.381,50.844666
Jumbo 663,2020-02-08 14:58:06.000,DSL,35396.978,35541.189,50.685666
Jumbo 663,2020-02-08 13:58:16.000,DSL,36712.202,36864.41,50.566333
Jumbo 663,2020-02-08 12:59:26.000,DSL,29468.135,29576.499,51.644
Jumbo 663,2020-02-08 11:59:26.000,DSL,30853.526,30970.353,51.403333
Jumbo 663,2020-02-08 10:59:46.000,DSL,32777.575,32905.783,51.167333
Jumbo 663,2020-02-08 09:59:56.000,DSL,33552.848,33686.208,51.04
Jumbo 663,2020-02-08 08:58:36.000,DSL,34898.942,35041.23,50.813666
Jumbo 663,2020-02-08 07:58:16.000,DSL,35707.515,35854.921,50.71
Jumbo 663,2020-02-08 06:59:26.000,DSL,36757.205,36911.631,50.561666
Jumbo 663,2020-02-08 05:57:17.000,DSL,37772.293,37933.426,50.456333
Jumbo 663,2020-02-08 04:57:26.000,DSL,38085.409,38249.004,50.408666
Jumbo 663,2020-02-08 03:59:16.000,DSL,38412.358,38578.701,50.350666
Jumbo 663,2020-02-08 02:59:36.000,DSL,38660.867,38832.371,50.126
Jumbo 663,2020-02-08 01:58:56.000,DSL,39144.535,39318.145,50.16
Jumbo 663,2020-02-08 00:59:26.000,DSL,39443.61,39621.253,50.024666
Jumbo 663,2020-02-07 23:59:16.000,DSL,39720.317,39900.09,49.992333
Jumbo 663,2020-02-07 22:59:56.000,DSL,39992.711,40173.894,50.0
Jumbo 663,2020-02-07 21:58:16.000,DSL,40811.142,41002.187,49.711666
Jumbo 663,2020-02-07 20:59:16.000,DSL,41124.017,41320.815,49.499333
Jumbo 663,2020-02-07 19:59:56.000,DSL,42038.429,42241.81,49.434
Jumbo 663,2020-02-07 18:58:36.000,DSL,35235.502,35392.353,49.887666
Jumbo 663,2020-02-07 17:59:36.000,DSL,36089.254,36253.367,49.665333
Jumbo 663,2020-02-07 16:59:46.000,DSL,37043.218,37214.994,49.466
Jumbo 663,2020-02-07 15:59:46.000,DSL,37881.468,38059.141,49.351
Jumbo 663,2020-02-07 14:59:36.000,DSL,39304.636,39495.672,48.952333
Jumbo 663,2020-02-07 13:59:06.000,DSL,41772.038,41978.285,48.850333
Jumbo 663,2020-02-07 12:58:26.000,DSL,43953.158,44175.777,48.656666
Jumbo 663,2020-02-07 11:59:06.000,DSL,37602.522,37780.283,50.063333
Jumbo 663,2020-02-07 10:58:46.000,DSL,39401.852,39593.985,49.87
Jumbo 663,2020-02-07 09:56:36.000,DSL,41242.918,41448.764,49.737333
Jumbo 663,2020-02-07 08:58:56.000,DSL,40079.268,40277.486,49.748333
Jumbo 663,2020-02-07 07:56:36.000,DSL,28894.967,29000.842,51.656333
Jumbo 663,2020-02-07 06:57:46.000,DSL,30212.017,30326.357,51.491666
Jumbo 663,2020-02-07 05:58:46.000,DSL,31427.059,31549.663,51.324333
Jumbo 663,2020-02-07 04:55:46.000,DSL,32454.447,32583.763,51.207666
Jumbo 663,2020-02-07 03:55:16.000,DSL,33024.657,33158.37,51.101666
Jumbo 663,2020-02-07 02:58:06.000,DSL,25765.772,25849.561,52.408666
Jumbo 663,2020-02-07 01:54:56.000,DSL,26097.839,26183.751,52.319333
Jumbo 663,2020-02-07 00:59:36.000,DSL,26619.774,26708.906,52.190666
Jumbo 663,2020-02-06 23:59:26.000,DSL,26970.139,27061.546,52.116333
Jumbo 663,2020-02-06 22:59:06.000,DSL,27210.755,27304.518,51.972333
Jumbo 663,2020-02-06 21:58:07.000,DSL,28445.297,28545.538,51.813666
Jumbo 663,2020-02-06 20:56:16.000,DSL,29615.666,29723.177,51.593333
Jumbo 663,2020-02-06 19:58:56.000,DSL,23169.72,23239.424,53.054333
Jumbo 663,2020-02-06 18:59:07.000,DSL,24142.497,24217.016,52.832333
Jumbo 663,2020-02-06 17:59:56.000,DSL,25757.505,25840.227,52.592
Jumbo 663,2020-02-06 16:57:56.000,DSL,27942.949,28036.577,52.304333
Jumbo 663,2020-02-06 15:59:26.000,DSL,29576.185,29679.071,52.070666
Jumbo 663,2020-02-06 14:59:36.000,DSL,31484.117,31598.776,51.829666
Jumbo 663,2020-02-06 13:59:37.000,DSL,33660.356,33787.702,51.694333
Jumbo 663,2020-02-06 12:59:06.000,DSL,35381.286,35518.832,51.587333
Jumbo 663,2020-02-06 11:56:26.000,DSL,38052.207,38207.595,51.323666
Jumbo 663,2020-02-06 10:59:56.000,DSL,40366.914,40533.722,51.329333
Jumbo 663,2020-02-06 09:58:26.000,DSL,35018.34,35155.564,51.488666
Jumbo 663,2020-02-06 08:59:16.000,DSL,29588.75,29690.797,52.152
Jumbo 663,2020-02-06 07:58:16.000,DSL,31542.501,31655.456,51.946333
Jumbo 663,2020-02-06 06:55:56.000,DSL,33354.688,33477.641,51.827
Jumbo 663,2020-02-06 05:59:06.000,DSL,34403.931,34536.53,51.531666
Jumbo 663,2020-02-06 04:57:16.000,DSL,35331.697,35466.525,51.643666
Jumbo 663,2020-02-06 03:59:26.000,DSL,36184.462,36325.36,51.516333
Jumbo 663,2020-02-06 02:56:16.000,DSL,36520.645,36664.048,51.459666
Jumbo 663,2020-02-06 01:59:16.000,DSL,36707.737,36852.958,51.402
Jumbo 663,2020-02-06 00:59:36.000,DSL,37088.948,37237.294,51.320333
Jumbo 663,2020-02-05 23:59:26.000,DSL,37448.723,37599.629,51.270333
Jumbo 663,2020-02-05 22:59:16.000,DSL,30133.525,30239.507,53.054666
Jumbo 663,2020-02-05 21:57:46.000,DSL,23092.403,23158.26,53.858666
Jumbo 663,2020-02-05 20:57:46.000,DSL,23623.368,23692.224,53.769333
Jumbo 663,2020-02-05 19:54:56.000,DSL,22312.561,22371.503,54.22
Jumbo 663,2020-02-05 18:59:46.000,DSL,17661.723,17695.591,55.330333
Jumbo 663,2020-02-05 17:58:37.000,DSL,19414.393,19453.941,55.109
Jumbo 663,2020-02-05 16:59:36.000,DSL,21503.782,21550.219,54.898
Jumbo 663,2020-02-05 15:58:46.000,DSL,23876.223,23930.266,54.671666
Jumbo 663,2020-02-05 14:56:16.000,DSL,25995.127,26056.637,54.511333
Jumbo 663,2020-02-05 13:59:46.000,DSL,28644.89,28715.558,54.326666
Jumbo 663,2020-02-05 12:59:56.000,DSL,31112.723,31192.541,54.130666
Jumbo 663,2020-02-05 11:59:16.000,DSL,33672.717,33762.149,53.958333
Jumbo 663,2020-02-05 10:59:56.000,DSL,35827.053,35924.849,53.82
Jumbo 663,2020-02-05 09:57:36.000,DSL,37486.646,37592.699,53.597333
Jumbo 663,2020-02-05 08:59:46.000,DSL,39842.567,39957.722,53.484
Jumbo 663,2020-02-05 07:59:56.000,DSL,41825.697,41949.972,53.309333
Jumbo 663,2020-02-05 06:56:16.000,DSL,43942.615,44074.706,53.269
Jumbo 663,2020-02-05 05:59:19.000,DSL,44467.137,44604.896,53.063666
Jumbo 663,2020-02-05 04:58:38.000,DSL,37199.28,37292.108,54.434
Jumbo 663,2020-02-05 03:59:26.000,DSL,37638.892,37733.487,54.416
Jumbo 663,2020-02-05 02:56:16.000,DSL,38043.166,38139.165,54.412
Jumbo 663,2020-02-05 01:57:16.000,DSL,38218.916,38315.685,54.401333
Jumbo 663,2020-02-05 00:59:37.000,DSL,38429.165,38527.07,54.376666
Jumbo 663,2020-02-04 23:59:56.000,DSL,38915.336,39017.969,54.201666
Jumbo 663,2020-02-04 22:59:46.000,DSL,39105.014,39206.881,54.281666
Jumbo 663,2020-02-04 21:58:46.000,DSL,39508.356,39610.07,54.365333
