,Date,Inventory,Sales,After Sales,Load Count,Total Gallons Delivered,Day,Is Public Holiday,Temp-F,Month,Season,Demand,Sales % of Inventory,Average Load Volume,Average Sales per load,Inventory Turnover,Days of Inventory on Hand,Sales Growth Rate
27,2019-07-17,43575.052,32122.45,11452.6,4,30615,Wednesday,False,84.0,7,Summer,32122.45,73.72,7653.75,8030.61,0.74,1.36,8.55
28,2019-07-18,42293.216,31042.98,11250.24,4,30700,Thursday,False,83.0,7,Summer,31042.98,73.4,7675.0,7760.74,0.73,1.36,-3.36
29,2019-07-19,41509.261,24785.9,16723.36,3,22830,Friday,False,84.5,7,Summer,24785.9,59.71,7610.0,8261.97,0.6,1.67,-20.16
30,2019-07-20,39798.458,15086.61,24711.85,1,7740,Saturday,False,81.5,7,Summer,15086.61,37.91,7740.0,15086.61,0.38,2.64,-39.13
31,2019-07-21,32093.821,16051.72,16042.1,1,7650,Sunday,False,82.0,7,Summer,16051.72,50.01,7650.0,16051.72,0.5,2.0,6.4
32,2019-07-22,31512.859,26064.08,5448.78,5,38060,Monday,False,81.5,7,Summer,26064.08,82.71,7612.0,5212.82,0.83,1.21,62.38
33,2019-07-23,35406.785,29675.59,5731.2,4,30840,Tuesday,False,77.0,7,Summer,29675.59,83.81,7710.0,7418.9,0.84,1.19,13.86
34,2019-07-24,36635.575,26833.57,9802.0,4,30760,Wednesday,False,75.5,7,Summer,26833.57,73.24,7690.0,6708.39,0.73,1.37,-9.58
35,2019-07-25,40794.723,35083.25,5711.47,3,22910,Thursday,False,75.5,7,Summer,35083.25,86.0,7636.67,11694.42,0.86,1.16,30.74
36,2019-07-26,28185.671,24332.19,3853.48,4,30520,Friday,False,76.5,7,Summer,24332.19,86.33,7630.0,6083.05,0.86,1.16,-30.64
37,2019-07-27,34751.367,14223.45,20527.92,2,15540,Saturday,False,77.5,7,Summer,14223.45,40.93,7770.0,7111.72,0.41,2.44,-41.54
38,2019-07-28,36020.821,12396.78,23624.04,1,7655,Sunday,False,79.0,7,Summer,12396.78,34.42,7655.0,12396.78,0.34,2.91,-12.84
39,2019-07-29,30950.461,24339.84,6610.62,4,30460,Monday,False,81.0,7,Summer,24339.84,78.64,7615.0,6084.96,0.79,1.27,96.34
40,2019-07-30,36851.933,33087.49,3764.44,4,30730,Tuesday,False,81.0,7,Summer,33087.49,89.78,7682.5,8271.87,0.9,1.11,35.94
41,2019-07-31,34766.964,30409.51,4357.45,5,38330,Wednesday,False,81.0,7,Summer,30409.51,87.47,7666.0,6081.9,0.87,1.14,-8.09
42,2019-08-01,50285.68,35701.16,14584.52,4,30720,Thursday,False,83.0,8,Summer,35701.16,71.0,7680.0,8925.29,0.71,1.41,17.4
43,2019-08-02,37484.763,27157.62,10327.14,2,15330,Friday,False,79.5,8,Summer,27157.62,72.45,7665.0,13578.81,0.72,1.38,-23.93
44,2019-08-03,33440.316,15271.68,18168.64,3,22810,Saturday,False,80.5,8,Summer,15271.68,45.67,7603.33,5090.56,0.46,2.19,-43.77
45,2019-08-04,33648.443,12466.59,21181.85,1,7500,Sunday,False,76.5,8,Summer,12466.59,37.05,7500.0,12466.59,0.37,2.7,-18.37
46,2019-08-05,28232.626,25763.96,2468.67,4,26745,Monday,False,79.0,8,Summer,25763.96,91.26,6686.25,6440.99,0.91,1.1,106.66
47,2019-08-06,28670.026,33178.53,-4508.5,5,38320,Tuesday,False,80.0,8,Summer,33178.53,115.73,7664.0,6635.71,1.16,0.86,28.78
48,2019-08-07,34474.614,29731.09,4743.52,5,38740,Wednesday,False,81.5,8,Summer,29731.09,86.24,7748.0,5946.22,0.86,1.16,-10.39
49,2019-08-08,43302.243,30921.27,12380.97,4,30700,Thursday,False,82.0,8,Summer,30921.27,71.41,7675.0,7730.32,0.71,1.4,4.0
50,2019-08-09,43380.646,26189.79,17190.86,3,22920,Friday,False,83.0,8,Summer,26189.79,60.37,7640.0,8729.93,0.6,1.66,-15.3
51,2019-08-10,47758.459,14704.26,33054.2,2,15270,Saturday,False,83.5,8,Summer,14704.26,30.79,7635.0,7352.13,0.31,3.25,-43.85
52,2019-08-11,41336.705,14053.46,27283.25,1,7500,Sunday,False,83.5,8,Summer,14053.46,34.0,7500.0,14053.46,0.34,2.94,-4.43
53,2019-08-12,34616.258,27103.43,7512.83,4,30810,Monday,False,83.5,8,Summer,27103.43,78.3,7702.5,6775.86,0.78,1.28,92.86
54,2019-08-13,38115.389,31559.08,6556.31,4,30410,Tuesday,False,84.0,8,Summer,31559.08,82.8,7602.5,7889.77,0.83,1.21,16.44
55,2019-08-14,37317.968,32934.67,4383.3,4,30530,Wednesday,False,83.5,8,Summer,32934.67,88.25,7632.5,8233.67,0.88,1.13,4.36
56,2019-08-15,35593.615,30643.83,4949.78,4,30270,Thursday,False,83.5,8,Summer,30643.83,86.09,7567.5,7660.96,0.86,1.16,-6.96
57,2019-08-16,34528.056,28940.12,5587.94,4,30510,Friday,False,81.0,8,Summer,28940.12,83.82,7627.5,7235.03,0.84,1.19,-5.56
58,2019-08-17,35968.991,15317.88,20651.11,2,15460,Saturday,False,82.5,8,Summer,15317.88,42.59,7730.0,7658.94,0.43,2.35,-47.07
59,2019-08-18,36502.987,14877.43,21625.56,1,7500,Sunday,False,84.0,8,Summer,14877.43,40.76,7500.0,14877.43,0.41,2.45,-2.88
60,2019-08-19,28814.977,26334.46,2480.52,3,23040,Monday,False,82.0,8,Summer,26334.46,91.39,7680.0,8778.15,0.91,1.09,77.01
61,2019-08-20,29681.403,32451.29,-2769.89,5,37890,Tuesday,False,80.0,8,Summer,32451.29,109.33,7578.0,6490.26,1.09,0.91,23.23
62,2019-08-21,38742.972,35832.89,2910.08,5,38120,Wednesday,False,82.5,8,Summer,35832.89,92.49,7624.0,7166.58,0.92,1.08,10.42
63,2019-08-22,39168.515,30054.31,9114.2,4,30820,Thursday,False,83.0,8,Summer,30054.31,76.73,7705.0,7513.58,0.77,1.3,-16.13
64,2019-08-23,42714.336,25721.9,16992.44,3,23050,Friday,False,82.0,8,Summer,25721.9,60.22,7683.33,8573.97,0.6,1.66,-14.42
65,2019-08-24,32643.074,18251.59,14391.48,3,22930,Saturday,False,78.0,8,Summer,18251.59,55.91,7643.33,6083.86,0.56,1.79,-29.04
66,2019-08-25,37207.94,14516.09,22691.85,2,15200,Sunday,False,72.0,8,Summer,14516.09,39.01,7600.0,7258.04,0.39,2.56,-20.47
67,2019-08-26,37673.167,26610.17,11063.0,2,15420,Monday,False,74.5,8,Summer,26610.17,70.63,7710.0,13305.08,0.71,1.42,83.31
68,2019-08-27,26994.066,31004.37,-4010.3,5,38050,Tuesday,False,75.5,8,Summer,31004.37,114.86,7610.0,6200.87,1.15,0.87,16.51
69,2019-08-28,33586.837,32473.85,1112.99,3,23080,Wednesday,False,80.5,8,Summer,32473.85,96.69,7693.33,10824.62,0.97,1.03,4.74
70,2019-08-29,23819.382,28589.47,-4770.09,4,30615,Thursday,False,73.5,8,Summer,28589.47,120.03,7653.75,7147.37,1.2,0.83,-11.96
71,2019-08-30,34250.924,23050.97,11199.95,4,31020,Friday,False,74.5,8,Summer,23050.97,67.3,7755.0,5762.74,0.67,1.49,-19.37
72,2019-08-31,34050.525,14534.94,19515.58,2,15360,Saturday,False,76.5,8,Summer,14534.94,42.69,7680.0,7267.47,0.43,2.34,-36.94
73,2019-09-01,35277.186,9391.43,25885.76,1,7650,Sunday,False,78.5,9,Autumn,9391.43,26.62,7650.0,9391.43,0.27,3.76,-35.39
74,2019-09-02,33633.763,11478.36,22155.4,2,15540,Monday,True,79.5,9,Autumn,11478.36,34.13,7770.0,5739.18,0.34,2.93,22.22
75,2019-09-03,45237.275,27027.04,18210.24,3,23130,Tuesday,False,80.0,9,Autumn,27027.04,59.75,7710.0,9009.01,0.6,1.67,135.46
76,2019-09-04,33267.529,31148.83,2118.7,3,23030,Wednesday,False,82.0,9,Autumn,31148.83,93.63,7676.67,10382.94,0.94,1.07,15.25
77,2019-09-05,32833.993,29088.36,3745.63,4,30360,Thursday,False,84.0,9,Autumn,29088.36,88.59,7590.0,7272.09,0.89,1.13,-6.61
78,2019-09-06,35780.947,27329.02,8451.93,4,30360,Friday,False,81.0,9,Autumn,27329.02,76.38,7590.0,6832.26,0.76,1.31,-6.05
79,2019-09-07,32062.3,14584.89,17477.41,4,30360,Saturday,False,82.5,9,Autumn,14584.89,45.49,7590.0,3646.22,0.45,2.2,-46.63
80,2019-09-09,36965.632,26668.49,10297.14,4,30880,Monday,False,81.5,9,Autumn,26668.49,72.14,7720.0,6667.12,0.72,1.39,82.85
81,2019-09-10,41448.303,34026.74,7421.56,2,15150,Tuesday,False,83.0,9,Autumn,34026.74,82.09,7575.0,17013.37,0.82,1.22,27.59
82,2019-09-11,38059.416,34524.42,3535.0,5,37920,Wednesday,False,82.0,9,Autumn,34524.42,90.71,7584.0,6904.88,0.91,1.1,1.46
83,2019-09-12,27031.951,32638.61,-5606.66,5,37680,Thursday,False,83.5,9,Autumn,32638.61,120.74,7536.0,6527.72,1.21,0.83,-5.46
84,2019-09-13,32996.776,26117.72,6879.06,4,30310,Friday,False,83.5,9,Autumn,26117.72,79.15,7577.5,6529.43,0.79,1.26,-19.98
85,2019-09-14,37555.703,13683.18,23872.52,2,15240,Saturday,False,78.0,9,Autumn,13683.18,36.43,7620.0,6841.59,0.36,2.74,-47.61
86,2019-09-15,39809.036,12290.4,27518.64,1,7650,Sunday,False,79.0,9,Autumn,12290.4,30.87,7650.0,12290.4,0.31,3.24,-10.18
87,2019-09-16,35140.1,25397.21,9742.89,3,23090,Monday,False,81.0,9,Autumn,25397.21,72.27,7696.67,8465.74,0.72,1.38,106.64
88,2019-09-17,32347.586,31451.82,895.77,4,30620,Tuesday,False,81.5,9,Autumn,31451.82,97.23,7655.0,7862.96,0.97,1.03,23.84
89,2019-09-18,31860.108,36160.33,-4300.22,4,30180,Wednesday,False,74.5,9,Autumn,36160.33,113.5,7545.0,9040.08,1.13,0.88,14.97
90,2019-09-19,34428.776,33831.79,596.99,7,53790,Thursday,False,72.0,9,Autumn,33831.79,98.27,7684.29,4833.11,0.98,1.02,-6.44
91,2019-09-20,48340.705,27611.89,20728.82,4,30340,Friday,False,69.5,9,Autumn,27611.89,57.12,7585.0,6902.97,0.57,1.75,-18.38
92,2019-09-22,35279.154,16185.69,19093.46,3,22870,Sunday,False,72.0,9,Autumn,16185.69,45.88,7623.33,5395.23,0.46,2.18,-41.38
93,2019-09-23,42561.276,29813.89,12747.39,2,15380,Monday,False,74.0,9,Autumn,29813.89,70.05,7690.0,14906.94,0.7,1.43,84.2
94,2019-09-24,27587.187,33478.47,-5891.28,5,38125,Tuesday,False,80.5,9,Autumn,33478.47,121.36,7625.0,6695.69,1.21,0.82,12.29
95,2019-09-25,33252.951,34360.08,-1107.13,5,38135,Wednesday,False,77.0,9,Autumn,34360.08,103.33,7627.0,6872.02,1.03,0.97,2.63
96,2019-09-26,37645.392,33109.56,4535.83,4,30725,Thursday,False,80.0,9,Autumn,33109.56,87.95,7681.25,8277.39,0.88,1.14,-3.64
97,2019-09-27,43333.904,26734.84,16599.06,3,22657,Friday,False,83.0,9,Autumn,26734.84,61.69,7552.33,8911.61,0.62,1.62,-19.25
98,2019-09-28,32302.993,14567.98,17735.01,2,15540,Saturday,False,80.0,9,Autumn,14567.98,45.1,7770.0,7283.99,0.45,2.22,-45.51
99,2019-09-29,33631.943,12649.89,20982.05,2,15390,Sunday,False,81.0,9,Autumn,12649.89,37.61,7695.0,6324.94,0.38,2.66,-13.17
100,2019-09-30,35721.314,27623.22,8098.09,3,22720,Monday,False,82.0,9,Autumn,27623.22,77.33,7573.33,9207.74,0.77,1.29,118.37
101,2019-10-01,31790.296,34688.72,-2898.42,5,38020,Tuesday,False,82.0,10,Autumn,34688.72,109.12,7604.0,6937.74,1.09,0.92,25.58
102,2019-10-02,35878.652,33845.16,2033.49,5,37870,Wednesday,False,84.0,10,Autumn,33845.16,94.33,7574.0,6769.03,0.94,1.06,-2.43
103,2019-10-03,40259.688,32083.39,8176.3,3,22770,Thursday,False,84.5,10,Autumn,32083.39,79.69,7590.0,10694.46,0.8,1.25,-5.21
104,2019-10-04,31934.616,27963.06,3971.56,4,30780,Friday,False,82.5,10,Autumn,27963.06,87.56,7695.0,6990.76,0.88,1.14,-12.84
105,2019-10-05,36124.047,12878.8,23245.25,1,7590,Saturday,False,69.5,10,Autumn,12878.8,35.65,7590.0,12878.8,0.36,2.8,-53.94
106,2019-10-06,30932.314,12769.96,18162.35,2,15150,Sunday,False,71.5,10,Autumn,12769.96,41.28,7575.0,6384.98,0.41,2.42,-0.85
107,2019-10-07,33884.806,28673.32,5211.49,5,38261,Monday,False,73.5,10,Autumn,28673.32,84.62,7652.2,5734.66,0.85,1.18,124.54
108,2019-10-08,43714.247,34258.68,9455.57,3,22610,Tuesday,False,74.5,10,Autumn,34258.68,78.37,7536.67,11419.56,0.78,1.28,19.48
109,2019-10-09,32875.351,29239.6,3635.75,4,30580,Wednesday,False,67.5,10,Autumn,29239.6,88.94,7645.0,7309.9,0.89,1.12,-14.65
110,2019-10-10,34315.533,33672.57,642.96,6,45690,Thursday,False,69.5,10,Autumn,33672.57,98.13,7615.0,5612.1,0.98,1.02,15.16
111,2019-10-11,47483.865,24882.78,22601.08,2,15510,Friday,False,67.5,10,Autumn,24882.78,52.4,7755.0,12441.39,0.52,1.91,-26.1
112,2019-10-12,39102.944,16656.42,22446.52,1,7500,Saturday,False,72.0,10,Autumn,16656.42,42.6,7500.0,16656.42,0.43,2.35,-33.06
113,2019-10-13,30167.987,13648.87,16519.12,2,15260,Sunday,False,66.0,10,Autumn,13648.87,45.24,7630.0,6824.44,0.45,2.21,-18.06
114,2019-10-14,32335.367,27842.29,4493.08,4,30270,Monday,True,68.0,10,Autumn,27842.29,86.1,7567.5,6960.57,0.86,1.16,103.99
115,2019-10-15,33596.338,30807.26,2789.08,5,38480,Tuesday,False,66.5,10,Autumn,30807.26,91.7,7696.0,6161.45,0.92,1.09,10.65
116,2019-10-16,49498.217,34214.84,15283.38,4,30755,Wednesday,False,63.5,10,Autumn,34214.84,69.12,7688.75,8553.71,0.69,1.45,11.06
117,2019-10-17,46936.813,35564.39,11372.42,3,22590,Thursday,False,57.0,10,Autumn,35564.39,75.77,7530.0,11854.8,0.76,1.32,3.94
118,2019-10-18,34068.871,31196.45,2872.42,5,38400,Friday,False,57.0,10,Autumn,31196.45,91.57,7680.0,6239.29,0.92,1.09,-12.28
119,2019-10-19,34677.248,15996.14,18681.11,2,15180,Saturday,False,53.5,10,Autumn,15996.14,46.13,7590.0,7998.07,0.46,2.17,-48.72
120,2019-10-20,34631.636,14157.05,20474.59,2,15240,Sunday,False,67.5,10,Autumn,14157.05,40.88,7620.0,7078.52,0.41,2.45,-11.5
121,2019-10-21,36069.859,28745.9,7323.96,3,23190,Monday,False,66.0,10,Autumn,28745.9,79.7,7730.0,9581.97,0.8,1.25,103.05
122,2019-10-22,30263.4,39265.64,-9002.24,6,45670,Tuesday,False,64.0,10,Autumn,39265.64,129.75,7611.67,6544.27,1.3,0.77,36.6
123,2019-10-23,37727.827,37715.89,11.94,4,30520,Wednesday,False,57.5,10,Autumn,37715.89,99.97,7630.0,9428.97,1.0,1.0,-3.95
124,2019-10-24,30999.569,32702.3,-1702.73,5,37880,Thursday,False,57.0,10,Autumn,32702.3,105.49,7576.0,6540.46,1.05,0.95,-13.29
125,2019-10-25,36993.345,23913.37,13079.98,3,22640,Friday,False,63.5,10,Autumn,23913.37,64.64,7546.67,7971.12,0.65,1.55,-26.88
126,2019-10-26,36781.343,16082.77,20698.57,2,15240,Saturday,False,70.5,10,Autumn,16082.77,43.73,7620.0,8041.38,0.44,2.29,-32.75
127,2019-10-27,36279.472,14939.45,21340.02,2,15110,Sunday,False,65.5,10,Autumn,14939.45,41.18,7555.0,7469.72,0.41,2.43,-7.11
128,2019-10-28,36959.133,27833.65,9125.48,4,30520,Monday,False,62.5,10,Autumn,27833.65,75.31,7630.0,6958.41,0.75,1.33,86.31
129,2019-10-29,48150.326,30950.34,17199.99,3,22760,Tuesday,False,61.0,10,Autumn,30950.34,64.28,7586.67,10316.78,0.64,1.56,11.2
130,2019-10-30,29556.993,34273.09,-4716.1,5,37860,Wednesday,False,67.5,10,Autumn,34273.09,115.96,7572.0,6854.62,1.16,0.86,10.74
131,2019-10-31,33553.002,37149.93,-3596.93,5,38095,Thursday,False,57.5,10,Autumn,37149.93,110.72,7619.0,7429.99,1.11,0.9,8.39
132,2019-11-01,34797.873,29161.36,5636.51,3,23310,Friday,False,52.2,11,Autumn,29161.36,83.8,7770.0,9720.45,0.84,1.19,-21.5
133,2019-11-02,28308.181,14895.56,13412.62,3,22900,Saturday,False,52.2,11,Autumn,14895.56,52.62,7633.33,4965.19,0.53,1.9,-48.92
134,2019-11-03,36731.563,16077.61,20653.95,2,15150,Sunday,False,48.0,11,Autumn,16077.61,43.77,7575.0,8038.8,0.44,2.28,7.94
135,2019-11-04,35862.26,26393.18,9469.08,3,23030,Monday,False,48.5,11,Autumn,26393.18,73.6,7676.67,8797.73,0.74,1.36,64.16
136,2019-11-05,32289.84,40228.27,-7938.43,5,38181,Tuesday,False,60.0,11,Autumn,40228.27,124.58,7636.2,8045.65,1.25,0.8,52.42
137,2019-11-06,38378.125,36230.59,2147.54,6,40310,Wednesday,False,57.0,11,Autumn,36230.59,94.4,6718.33,6038.43,0.94,1.06,-9.94
138,2019-11-07,35078.757,35291.76,-213.0,4,30900,Thursday,False,60.5,11,Autumn,35291.76,100.61,7725.0,8822.94,1.01,0.99,-2.59
139,2019-11-08,30723.545,30523.32,200.22,4,30335,Friday,False,51.0,11,Autumn,30523.32,99.35,7583.75,7630.83,0.99,1.01,-13.51
140,2019-11-09,31092.897,18114.18,12978.72,3,18985,Saturday,False,43.0,11,Autumn,18114.18,58.26,6328.33,6038.06,0.58,1.72,-40.65
141,2019-11-10,34157.108,13020.52,21136.59,2,15200,Sunday,False,50.0,11,Autumn,13020.52,38.12,7600.0,6510.26,0.38,2.62,-28.12
142,2019-11-11,42724.956,25571.4,17153.56,4,30640,Monday,True,53.5,11,Autumn,25571.4,59.85,7660.0,6392.85,0.6,1.67,96.39
143,2019-11-12,40235.764,37918.18,2317.58,4,30480,Tuesday,False,42.5,11,Autumn,37918.18,94.24,7620.0,9479.54,0.94,1.06,48.28
144,2019-11-13,33217.626,36433.8,-3216.17,5,37760,Wednesday,False,35.5,11,Autumn,36433.8,109.68,7552.0,7286.76,1.1,0.91,-3.91
145,2019-11-14,35813.364,33153.79,2659.57,4,30470,Thursday,False,38.0,11,Autumn,33153.79,92.57,7617.5,8288.45,0.93,1.08,-9.0
146,2019-11-15,33821.298,27437.58,6383.72,3,22700,Friday,False,45.0,11,Autumn,27437.58,81.13,7566.67,9145.86,0.81,1.23,-17.24
147,2019-11-16,44762.992,16760.54,28002.45,3,22930,Saturday,False,54.5,11,Autumn,16760.54,37.44,7643.33,5586.85,0.37,2.67,-38.91
148,2019-11-17,43860.806,13891.12,29969.69,2,15240,Sunday,False,55.5,11,Autumn,13891.12,31.67,7620.0,6945.56,0.32,3.16,-17.12
149,2019-11-18,45534.16,29297.11,16237.05,2,15110,Monday,False,55.0,11,Autumn,29297.11,64.34,7555.0,14648.56,0.64,1.55,110.91
150,2019-11-19,31197.116,35423.34,-4226.22,4,30190,Tuesday,False,53.0,11,Autumn,35423.34,113.55,7547.5,8855.83,1.14,0.88,20.91
151,2019-11-20,34344.987,32826.08,1518.91,6,45310,Wednesday,False,53.5,11,Autumn,32826.08,95.58,7551.67,5471.01,0.96,1.05,-7.33
152,2019-11-21,39416.0,33783.76,5632.24,3,22570,Thursday,False,52.5,11,Autumn,33783.76,85.71,7523.33,11261.25,0.86,1.17,2.92
153,2019-11-22,29699.997,27910.56,1789.44,6,45430,Friday,False,55.5,11,Autumn,27910.56,93.97,7571.67,4651.76,0.94,1.06,-17.38
154,2019-11-23,40189.204,14690.54,25498.66,2,15270,Saturday,False,57.0,11,Autumn,14690.54,36.55,7635.0,7345.27,0.37,2.74,-47.37
155,2019-11-24,41487.566,15712.24,25775.33,1,7610,Sunday,False,49.0,11,Autumn,15712.24,37.87,7610.0,15712.24,0.38,2.64,6.95
156,2019-11-25,33549.04,26140.5,7408.54,3,22830,Monday,False,48.5,11,Autumn,26140.5,77.92,7610.0,8713.5,0.78,1.28,66.37
157,2019-11-26,38125.671,30883.21,7242.46,4,30380,Tuesday,False,49.5,11,Autumn,30883.21,81.0,7595.0,7720.8,0.81,1.23,18.14
158,2019-11-27,38550.697,28008.85,10541.85,5,29530,Wednesday,False,65.5,11,Autumn,28008.85,72.65,5906.0,5601.77,0.73,1.38,-9.31
159,2019-11-28,40679.985,10451.78,30228.2,3,18965,Thursday,False,57.5,11,Autumn,10451.78,25.69,6321.67,3483.93,0.26,3.89,-62.68
160,2019-11-29,49950.397,10277.56,39672.84,1,7500,Friday,False,59.0,11,Autumn,10277.56,20.58,7500.0,10277.56,0.21,4.86,-1.67
161,2019-12-01,36539.471,15983.77,20555.7,1,7690,Sunday,False,59.0,12,Winter,15983.77,43.74,7690.0,15983.77,0.44,2.29,55.52
162,2019-12-02,28217.044,29293.52,-1076.48,4,30380,Monday,False,43.5,12,Winter,29293.52,103.81,7595.0,7323.38,1.04,0.96,83.27
163,2019-12-03,29121.321,36018.29,-6896.97,3,22790,Tuesday,False,43.0,12,Winter,36018.29,123.68,7596.67,12006.1,1.24,0.81,22.96
164,2019-12-04,16774.182,37413.09,-20638.91,8,60880,Wednesday,False,48.5,12,Winter,37413.09,223.04,7610.0,4676.64,2.23,0.45,3.87
165,2019-12-05,41460.31,38236.1,3224.21,4,30410,Thursday,False,54.5,12,Winter,38236.1,92.22,7602.5,9559.02,0.92,1.08,2.2
166,2019-12-06,34382.569,29884.88,4497.69,3,23200,Friday,False,51.0,12,Winter,29884.88,86.92,7733.33,9961.63,0.87,1.15,-21.84
167,2019-12-07,28331.585,20265.71,8065.88,3,22870,Saturday,False,55.0,12,Winter,20265.71,71.53,7623.33,6755.24,0.72,1.4,-32.19
168,2019-12-08,31491.828,14858.2,16633.63,3,23000,Sunday,False,49.0,12,Winter,14858.2,47.18,7666.67,4952.73,0.47,2.12,-26.68
169,2019-12-09,39581.384,27548.83,12032.55,3,22650,Monday,False,47.5,12,Winter,27548.83,69.6,7550.0,9182.94,0.7,1.44,85.41
170,2019-12-10,34928.04,36869.18,-1941.14,6,45180,Tuesday,False,58.5,12,Winter,36869.18,105.56,7530.0,6144.86,1.06,0.95,33.83
171,2019-12-11,36432.414,35170.93,1261.48,4,30470,Wednesday,False,45.5,12,Winter,35170.93,96.54,7617.5,8792.73,0.97,1.04,-4.61
172,2019-12-12,39333.98,35853.07,3480.91,3,22780,Thursday,False,40.5,12,Winter,35853.07,91.15,7593.33,11951.02,0.91,1.1,1.94
173,2019-12-13,34673.39,28820.63,5852.76,6,45090,Friday,False,40.0,12,Winter,28820.63,83.12,7515.0,4803.44,0.83,1.2,-19.61
174,2019-12-15,27337.591,18685.56,8652.03,3,22650,Sunday,False,50.0,12,Winter,18685.56,68.35,7550.0,6228.52,0.68,1.46,-35.17
175,2019-12-16,31991.115,29625.25,2365.87,3,22570,Monday,False,62.0,12,Winter,29625.25,92.6,7523.33,9875.08,0.93,1.08,58.55
