Date,Total Gallons,Count of Gallons
2019-01-15,38230,5
2019-01-16,38130,5
2019-01-17,38070,5
2019-01-18,22870,3
2019-01-19,7740,1
2019-01-21,45620,6
2019-01-22,38110,5
2019-01-23,30000,4
2019-01-24,30440,4
2019-01-25,22800,3
2019-01-26,22720,3
2019-01-27,15150,2
2019-01-28,15395,2
2019-01-29,30240,4
2019-01-30,23195,3
2019-01-31,38010,5
2019-02-01,53285,7
2019-02-02,15000,2
2019-02-03,15110,2
2019-02-04,22740,3
2019-02-05,23200,3
2019-02-06,30560,4
2019-02-07,30580,4
2019-02-08,30480,4
2019-02-09,23200,3
2019-02-10,15280,2
2019-02-11,23040,3
2019-02-12,30700,4
2019-02-13,30820,4
2019-02-14,30240,4
2019-02-15,30720,4
2019-02-16,7655,1
2019-02-17,15140,2
2019-02-18,23085,3
2019-02-19,38260,5
2019-02-20,46100,6
2019-02-21,23040,3
2019-02-22,22990,3
2019-02-23,15240,2
2019-02-24,15220,2
2019-02-25,23070,3
2019-02-26,38420,5
2019-02-27,23040,3
2019-02-28,22990,3
2019-03-01,30440,4
2019-03-02,15160,2
2019-03-03,15150,2
2019-03-04,22655,3
2019-03-05,38470,5
2019-03-06,30870,4
2019-03-07,38090,5
2019-03-08,22770,3
2019-03-09,15200,2
2019-03-10,15150,2
2019-03-11,23040,3
2019-03-12,30080,4
2019-03-13,38300,5
2019-03-14,15090,2
2019-03-15,38175,5
2019-03-16,7610,1
2019-03-17,15150,2
2019-03-18,30660,4
2019-03-19,38270,5
2019-03-20,30691,4
2019-03-21,38180,5
2019-03-22,22900,3
2019-03-23,7590,1
2019-03-24,22890,3
2019-03-25,15340,2
2019-03-26,42610,6
2019-03-27,45425,6
2019-03-28,22920,3
2019-03-29,30650,4
2019-03-31,15430,2
2019-04-01,38130,5
2019-04-02,22810,3
2019-04-03,38150,5
2019-04-04,28830,4
2019-04-05,22870,3
2019-04-06,7590,1
2019-04-07,15380,2
2019-04-08,22960,3
2019-04-09,30750,4
2019-04-10,38410,5
2019-04-11,15070,2
2019-04-12,30090,4
2019-04-13,15090,2
2019-04-14,7570,1
2019-04-15,38530,5
2019-04-16,30860,4
2019-04-17,45650,6
2019-04-18,30480,4
2019-04-19,15140,2
2019-04-20,22750,3
2019-04-21,7655,1
2019-04-22,22740,3
2019-04-23,30580,4
2019-04-24,30160,4
2019-04-25,30700,4
2019-04-26,22950,3
2019-04-27,22640,3
2019-04-28,7740,1
2019-04-29,30370,4
2019-04-30,22650,3
2019-05-01,37740,5
2019-05-02,30170,4
2019-05-03,15090,2
2019-05-04,15140,2
2019-05-06,30520,4
2019-05-07,34300,5
2019-05-08,45570,6
2019-05-09,30920,4
2019-05-10,35520,5
2019-05-12,7740,1
2019-05-13,30410,4
2019-05-14,30800,4
2019-05-15,38590,5
2019-05-16,23120,3
2019-05-17,30380,4
2019-05-18,7590,1
2019-05-19,15380,2
2019-05-20,30440,4
2019-05-21,30910,4
2019-05-22,30470,4
2019-05-23,38410,5
2019-05-24,22990,3
2019-05-25,11570,2
2019-05-26,15340,2
2019-05-27,15340,2
2019-05-28,23055,3
2019-05-29,30800,4
2019-05-30,30740,4
2019-05-31,30360,4
2019-06-01,15460,2
2019-06-02,7570,1
2019-06-03,22870,3
2019-06-04,45680,6
2019-06-05,22800,3
2019-06-06,30330,4
2019-06-07,30410,4
2019-06-08,15150,2
2019-06-09,15270,2
2019-06-10,22830,3
2019-06-11,30760,4
2019-06-12,38330,5
2019-06-13,22930,3
2019-06-14,23030,3
2019-06-15,7570,1
2019-06-16,7590,1
2019-06-17,30810,4
2019-06-18,38030,5
2019-06-19,30550,4
2019-06-20,37880,5
2019-06-21,7770,1
2019-06-22,22830,3
2019-06-23,7700,1
2019-06-24,30340,4
2019-06-25,37940,5
2019-06-26,30270,4
2019-06-27,23310,3
2019-06-28,23010,3
2019-06-29,15430,2
2019-06-30,7700,1
2019-07-01,22870,3
2019-07-02,38220,5
2019-07-03,22770,3
2019-07-04,15240,2
2019-07-05,15090,2
2019-07-07,15390,2
2019-07-08,38200,5
2019-07-09,30960,4
2019-07-10,23090,3
2019-07-11,38440,5
2019-07-12,22700,3
2019-07-13,7500,1
2019-07-14,22740,3
2019-07-15,30420,4
2019-07-16,30210,4
2019-07-17,30615,4
2019-07-18,30700,4
2019-07-19,22830,3
2019-07-20,7740,1
2019-07-21,7650,1
2019-07-22,38060,5
2019-07-23,30840,4
2019-07-24,30760,4
2019-07-25,22910,3
2019-07-26,30520,4
2019-07-27,15540,2
2019-07-28,7655,1
2019-07-29,30460,4
2019-07-30,30730,4
2019-07-31,38330,5
2019-08-01,30720,4
2019-08-02,15330,2
2019-08-03,22810,3
2019-08-04,7500,1
2019-08-05,26745,4
2019-08-06,38320,5
2019-08-07,38740,5
2019-08-08,30700,4
2019-08-09,22920,3
2019-08-10,15270,2
2019-08-11,7500,1
2019-08-12,30810,4
2019-08-13,30410,4
2019-08-14,30530,4
2019-08-15,30270,4
2019-08-16,30510,4
2019-08-17,15460,2
2019-08-18,7500,1
2019-08-19,23040,3
2019-08-20,37890,5
2019-08-21,38120,5
2019-08-22,30820,4
2019-08-23,23050,3
2019-08-24,22930,3
2019-08-25,15200,2
2019-08-26,15420,2
2019-08-27,38050,5
2019-08-28,23080,3
2019-08-29,30615,4
2019-08-30,31020,4
2019-08-31,15360,2
2019-09-01,7650,1
2019-09-02,15540,2
2019-09-03,23130,3
2019-09-04,23030,3
2019-09-05,30360,4
2019-09-06,30360,4
2019-09-07,30360,4
2019-09-09,30880,4
2019-09-10,15150,2
2019-09-11,37920,5
2019-09-12,37680,5
2019-09-13,30310,4
2019-09-14,15240,2
2019-09-15,7650,1
2019-09-16,23090,3
2019-09-17,30620,4
2019-09-18,30180,4
2019-09-19,53790,7
2019-09-20,30340,4
2019-09-22,22870,3
2019-09-23,15380,2
2019-09-24,38125,5
2019-09-25,38135,5
2019-09-26,30725,4
2019-09-27,22657,3
2019-09-28,15540,2
2019-09-29,15390,2
2019-09-30,22720,3
2019-10-01,38020,5
2019-10-02,37870,5
2019-10-03,22770,3
2019-10-04,30780,4
2019-10-05,7590,1
2019-10-06,15150,2
2019-10-07,38261,5
2019-10-08,22610,3
2019-10-09,30580,4
2019-10-10,45690,6
2019-10-11,15510,2
2019-10-12,7500,1
2019-10-13,15260,2
2019-10-14,30270,4
2019-10-15,38480,5
2019-10-16,30755,4
2019-10-17,22590,3
2019-10-18,38400,5
2019-10-19,15180,2
2019-10-20,15240,2
2019-10-21,23190,3
2019-10-22,45670,6
2019-10-23,30520,4
2019-10-24,37880,5
2019-10-25,22640,3
2019-10-26,15240,2
2019-10-27,15110,2
2019-10-28,30520,4
2019-10-29,22760,3
2019-10-30,37860,5
2019-10-31,38095,5
2019-11-01,23310,3
2019-11-02,22900,3
2019-11-03,15150,2
2019-11-04,23030,3
2019-11-05,38181,5
2019-11-06,40310,6
2019-11-07,30900,4
2019-11-08,30335,4
2019-11-09,18985,3
2019-11-10,15200,2
2019-11-11,30640,4
2019-11-12,30480,4
2019-11-13,37760,5
2019-11-14,30470,4
2019-11-15,22700,3
2019-11-16,22930,3
2019-11-17,15240,2
2019-11-18,15110,2
2019-11-19,30190,4
2019-11-20,45310,6
2019-11-21,22570,3
2019-11-22,45430,6
2019-11-23,15270,2
2019-11-24,7610,1
2019-11-25,22830,3
2019-11-26,30380,4
2019-11-27,29530,5
2019-11-28,18965,3
2019-11-29,7500,1
2019-12-01,7690,1
2019-12-02,30380,4
2019-12-03,22790,3
2019-12-04,60880,8
2019-12-05,30410,4
2019-12-06,23200,3
2019-12-07,22870,3
2019-12-08,23000,3
2019-12-09,22650,3
2019-12-10,45180,6
2019-12-11,30470,4
2019-12-12,22780,3
2019-12-13,45090,6
2019-12-15,22650,3
2019-12-16,22570,3
2019-12-17,45395,6
2019-12-18,30720,4
2019-12-19,15390,2
2019-12-20,38410,5
2019-12-21,15270,2
2019-12-22,15345,2
2019-12-23,22950,3
2019-12-24,7500,1
2019-12-25,7500,1
2019-12-26,22830,3
2019-12-27,15190,2
2019-12-28,15260,2
2019-12-29,7690,1
2019-12-30,22760,3
2019-12-31,7610,1
2020-01-01,22835,3
2020-01-02,22680,3
2020-01-03,30280,4
2020-01-04,7740,1
2020-01-05,22760,3
2020-01-06,30640,4
2020-01-07,22500,3
2020-01-08,22500,3
2020-01-09,45450,6
2020-01-10,30740,4
2020-01-11,15430,2
2020-01-12,15260,2
2020-01-13,22890,3
2020-01-14,38020,5
2020-01-15,30410,4
2020-01-16,45640,6
2020-01-17,15090,2
2020-01-18,30460,4
2020-01-19,22840,3
2020-01-20,15420,2
2020-01-21,38340,5
2020-01-22,38375,5
2020-01-23,30610,4
2020-01-24,30200,4
2020-01-25,15430,2
2020-01-26,22640,3
2020-01-27,30420,4
2020-01-28,15220,2
2020-01-29,37790,5
2020-01-30,45430,6
2020-01-31,30070,4
2020-02-01,23135,3
2020-02-02,15110,2
2020-02-03,22830,3
2020-02-04,30330,4
2020-02-05,30370,4
2020-02-06,22935,3
2020-02-07,37990,5
2020-02-08,15155,2
2020-02-09,15000,2
2020-02-10,22500,3
2020-02-11,30390,4
2020-02-12,30430,4
2020-02-13,45780,6
2020-02-14,15390,2
2020-02-15,15340,2
2020-02-16,15395,2
2020-02-17,22800,3
2020-02-18,30260,4
2020-02-19,30895,4
2020-02-20,15300,2
